titulo,autor,exemplar,area
LES TEMPS DES AMOURS,PAGNOL,EX.01,FRANCES
CABOT -CABOCHE,DANIEL PENNAC,EX.01,FRANCES
FERMINA MARQUEZ,VALERY LARBAUD,EX.01,FRANCES
LE PEINTRE ANTIQUE,CONSTANTIN THEOTOKIS,EX.01,FRANCES
ZAHRA,EVELYNE KUHN,EX.01,FRANCES
LE PREMIER LIVRE DES MERVEILLES,NATHANIEL HAWTHORNE,EX.01,FRANCES
LE JEU DE L AMOUR ET DU HASARD,MICHEL GILOT,EX.01,FRANCES
LA PRISE DE CONSTANTINOPLE,JEAN RICARDOU,EX.01,FRANCES
DIX PETITS NEGRES,AGATHA CHRISTIE,EX.01,FRANCES
ENFANCE ET ADOLESCENCE,TOLSTOI,EX.01,FRANCES
THERESE DESQUEYROUX,FRANçOIS MAURIAC,EX.01,FRANCES
LE ROSIER DE MADAME HUSSON,GUY DE MAUPASSANT,EX.01,FRANCES
TERRE DES HOMMES,ANTOINE DE SAINT-EXUPERY,EX.01,FRANCES
CANALETTO,ANTONIO PAOLUCCI,EX.01,FRANCES
LES SILENCES DU COLONEL BRAMBLE -,ANDRE MAUROIS,EX.01,FRANCES
LES SUICIDES,SIMENON,EX.01,FRANCES
LES MOTS,SARTRE,EX.01,FRANCES
LE MUR,SARTRE,EX.01,FRANCES
GARGANTUA,RABELAIS,EX.01,FRANCES
PENSEES,BLAISE PASCAL,EX.01,FRANCES
LA CHUTE,CAMUS,EX.01,FRANCES
PA PYRAMIDE ASSASSINEE,CHRISTIAN JACQ,EX.01,FRANCES
LES DENTES DU TIGRE,MAURICE LABLANC,EX.01,FRANCES
OEUVRES COMPLETES IV,MOLIERE,EX.01,FRANCES
COUP DE FROID,LINDA LA PLANTE,EX.01,FRANCES
LE RETOUR DE BISCOTTE MULLOTTE,ANNE-MARIE CHAPOUTON,EX.01,FRANCES
JACQUES CARTIER,ANDRE LESPAGNOL,EX.01,FRANCES
UN PETIT LOUP DE PLUS,MARIE-HELENE DELVAL,EX.01,FRANCES
UN TAXI MAUVE,MICHEL DEON,EX.01,FRANCES
VIE ET MORT DE JEANNE D ARC,REGINE PERNOUD,EX.01,FRANCES
LES TEMPS DES AMOURS,PAGNOL,EX.01,FRANCES
CABOT -CABOCHE,DANIEL PENNAC,EX.01,FRANCES
FERMINA MARQUEZ,VALERY LARBAUD,EX.01,FRANCES
LE PEINTRE ANTIQUE,CONSTANTIN THEOTOKIS,EX.01,FRANCES
ZAHRA,EVELYNE KUHN,EX.01,FRANCES
LE PREMIER LIVRE DES MERVEILLES,NATHANIEL HAWTHORNE,EX.01,FRANCES
LE JEU DE L AMOUR ET DU HASARD,MICHEL GILOT,EX.01,FRANCES
DOSSAIER DES PROFESSEURS,C.M.L. MONTROUGE,EX.01,FRANCES
CLIMATS,ANDRE MAUROIS,EX.01,FRANCES
ARRABAL,CHRISTIAN BOURGOIS (EDITEUR),EX.01,FRANCES
LES ENNEMIS ANIMAUX DES AGRUMES EN AFRIQUE DU NORD,PIERRE PIGUET,EX.01,FRANCES
LUCY CROWN,IRWIN SHAW,EX.01,FRANCES
BELEN MEMOIRES D UNE LISEUSE DE DRAPS,J.J.PAUVERT,EX.01,FRANCES
FIGURES,GERARD GENETTE,EX.01,FRANCES
CERCLE VICIEUX,ALDOUS HUXLEY,EX.01,FRANCES
LE MOULIN A PAROLES,MICHEL BENAMOU,EX.01,FRANCES
GEISHA,ARTHUR GOLDEN,EX.01,FRANCES
CDS -EM FRANCES,DIVERSOS,EX.01,FRANCES
FILME - A MULHER DO AVIADOR -CD,SEM TíTULO,EX.01,FRANCES
FILME - CONTO DE PRIMAVERA -CD,SEM TíTULO,EX.01,FRANCES
FILME - CONTO DE OUTONO-CD,SEM TíTULO,EX.01,FRANCES
FILME- PASSAPORTE PARA A VIDA -CD,SEM TITULO,EX.01,FRANCES
ALTER EGO (3) -CD,METHODO DE FRANCES,EX.01,FRANCES
JACQUES PREVERT ET SES INTERPRETES (CD) 1 ET (2),SEM TITULO,EX.01,FRANCES
PAGE D ECRITURE (2 VERSONS),SEM TITULO,EX.01,FRANCES
METRO SAINT-MICHEL-CD (1),BILAN,EX.01,FRANCES
"CAMPUS- CD(1,2,3)",SEM TíTULO-,EX.01,FRANCES
CHAMBRE AVEC VUE-MUSIQUES -,HENRI SALVADOR,EX.01,FRANCES
QUELQU UN M A DIT (MUSIQUE),CARLA BRUNI,EX.01,FRANCES
MADEMOISELLE CHATE- MUSIQUE,PATRICIA KAAS,EX.01,FRANCES
